province,region_size,school_level,school_name,integration_type,class_count,student_count
서울,대도시,고등학교,서울체육고등학교,중학+고등,12,332
서울,대도시,중학교,서울체육중학교,중학+고등,6,163
서울,대도시,초등학교,서울해누리초등학교,초등+중학,31,706
서울,대도시,중학교,해누리중학교,초등+중학,26,710
서울,대도시,고등학교,잠실여자고등학교,중학+고등,38,931
서울,대도시,중학교,일신여자중학교,중학+고등,23,397
서울,대도시,중학교,강빛중학교,초등+중학,15,312
서울,대도시,초등학교,서울강빛초등학교,초등+중학,33,879
부산,대도시,고등학교,부산체육고등학교,중학+고등,9,269
부산,대도시,중학교,부산체육중학교,중학+고등,6,135
부산,대도시,고등학교,부산국제고등학교,중학+고등,24,486
부산,대도시,중학교,부산국제중학교,중학+고등,6,188
부산,대도시,중학교,덕문중학교,중학+고등,4,29
부산,대도시,고등학교,덕문고등학교,중학+고등,6,124
대구,대도시,중학교,대구팔공중학교,초등+중학,18,398
대구,대도시,초등학교,대구팔공초등학교,초등+중학,19,391
대구,대도시,중학교,대구체육중학교,중학+고등,3,56
대구,대도시,고등학교,대구체육고등학교,중학+고등,8,203
인천,대도시,중학교,용유중학교,초등+중학,4,51
인천,대도시,초등학교,인천용유초등학교,초등+중학,7,35
인천,대도시,초등학교,인천경연초등학교,초등+중학,43,1034
인천,대도시,중학교,인천경연중학교,초등+중학,17,501
인천,대도시,중학교,인천청호중학교,초등+중학,16,501
인천,대도시,초등학교,인천청호초등학교,초등+중학,19,405
인천,도서벽지,고등학교,서도고등학교,초등+중학+고등,2,6
인천,도서벽지,초등학교,서도초등학교,초등+중학+고등,2,5
인천,도서벽지,중학교,서도중학교,초등+중학+고등,2,2
인천,도서벽지,초등학교,대청초등학교,초등+중학+고등,5,18
인천,도서벽지,중학교,대청중학교,초등+중학+고등,3,17
인천,도서벽지,고등학교,대청고등학교,초등+중학+고등,4,15
인천,도서벽지,고등학교,덕적고등학교,초등+중학+고등,3,32
인천,도서벽지,초등학교,덕적초등학교,초등+중학+고등,5,16
인천,도서벽지,중학교,덕적중학교,초등+중학+고등,4,16
인천,도서벽지,중학교,연평중학교,초등+중학+고등,3,9
인천,도서벽지,고등학교,연평고등학교,초등+중학+고등,3,25
인천,도서벽지,초등학교,연평초등학교,초등+중학+고등,6,21
인천,도서벽지,중학교,영흥중학교,중학+고등,7,121
인천,도서벽지,고등학교,인천영흥고등학교,중학+고등,7,112
광주,대도시,중학교,광주예술중학교,중학+고등,6,120
광주,대도시,고등학교,광주예술고등학교,중학+고등,15,364
대전,대도시,중학교,대전체육중학교,중학+고등,3,94
대전,대도시,고등학교,대전체육고등학교,중학+고등,9,239
울산,대도시,고등학교,울산스포츠과학고등학교,중학+고등,9,180
울산,대도시,중학교,울산스포츠과학중학교,중학+고등,6,94
울산,읍지역,고등학교,온산고등학교,중학+고등,15,342
울산,읍지역,중학교,온산중학교,중학+고등,21,488
세종,중소도시,고등학교,해밀고등학교,중학+고등,12,278
세종,중소도시,중학교,해밀중학교,중학+고등,22,467
경기,중소도시,중학교,판교대장중학교,초등+중학,14,365
경기,중소도시,초등학교,판교대장초등학교,초등+중학,43,1077
경기,중소도시,초등학교,과천율목초등학교,초등+중학,12,210
경기,중소도시,중학교,과천율목중학교,초등+중학,8,193
경기,중소도시,중학교,시화나래중학교,초등+중학,11,154
경기,중소도시,초등학교,시화나래초등학교,초등+중학,27,614
경기,중소도시,초등학교,배곧라라초등학교,초등+중학,13,263
경기,중소도시,중학교,배곧라라중학교,초등+중학,13,323
경기,중소도시,초등학교,배다리초등학교,초등+중학,20,410
경기,중소도시,중학교,배다리중학교,초등+중학,11,305
경기,면지역,중학교,양감중학교,초등+중학,3,32
경기,면지역,초등학교,양감초등학교,초등+중학,7,41
경기,읍지역,초등학교,향산초등학교,초등+중학,42,1077
경기,읍지역,중학교,향산중학교,초등+중학,12,363
경기,면지역,초등학교,율면초등학교,초등+중학+고등,4,18
경기,면지역,중학교,율면중학교,초등+중학+고등,4,23
경기,면지역,고등학교,율면고등학교,초등+중학+고등,4,63
경기,면지역,중학교,양성중학교,초등+중학,5,64
경기,면지역,초등학교,양성초등학교,초등+중학,7,49
경기,면지역,중학교,죽산중학교,중학+고등,7,120
경기,면지역,고등학교,죽산고등학교,중학+고등,12,167
경기,면지역,중학교,양수중학교,초등+중학,7,153
경기,면지역,초등학교,양수초등학교,초등+중학,13,240
경기,중소도시,중학교,하랑중학교,초등+중학,10,239
경기,중소도시,초등학교,하랑초등학교,초등+중학,33,791
경기,면지역,중학교,가평북중학교,초등+중학,4,32
경기,면지역,초등학교,목동초등학교,초등+중학,7,59
경기,도서벽지,중학교,군남중학교,초등+중학,4,28
경기,도서벽지,초등학교,군남초등학교,초등+중학,7,58
경기,도서벽지,초등학교,대광초등학교,초등+중학,7,39
경기,도서벽지,중학교,대광중학교,초등+중학,4,22
강원,중소도시,초등학교,퇴계초등학교,초등+중학,50,1152
강원,중소도시,중학교,퇴계중학교,초등+중학,12,333
강원,도서벽지,고등학교,마차고등학교,중학+고등,3,38
강원,도서벽지,중학교,마차중학교,중학+고등,3,13
강원,면지역,고등학교,봉평고등학교,중학+고등,6,93
강원,면지역,중학교,봉평중학교,중학+고등,7,110
강원,면지역,초등학교,상승초등학교,초등+중학,5,32
강원,면지역,중학교,상서중학교,초등+중학,3,25
강원,면지역,중학교,신남중학교,중학+고등,4,47
강원,면지역,고등학교,신남고등학교,중학+고등,3,35
충북,면지역,중학교,가덕중학교,초등+중학,4,40
충북,면지역,초등학교,가덕초등학교,초등+중학,6,32
충북,읍지역,초등학교,생명초등학교,초등+중학,43,992
충북,읍지역,중학교,생명중학교,초등+중학,13,321
충북,면지역,초등학교,충주대소원초등학교,초등+중학,18,305
충북,면지역,중학교,충주대소원중학교,초등+중학,7,129
충북,면지역,중학교,산척중학교,초등+중학,3,18
충북,면지역,초등학교,산척초등학교,초등+중학,7,21
충북,면지역,초등학교,제천덕산초등학교,초등+중학,7,40
충북,면지역,중학교,제천덕산중학교,초등+중학,3,18
충북,면지역,중학교,수산중학교,초등+중학,2,8
충북,면지역,초등학교,수산초등학교,초등+중학,3,12
충북,면지역,중학교,청풍중학교,초등+중학,3,14
충북,면지역,초등학교,청풍초등학교,초등+중학,6,32
충북,도서벽지,중학교,한송중학교,초등+중학,2,7
충북,도서벽지,초등학교,한송초등학교,초등+중학,3,11
충북,면지역,중학교,회인중학교,초등+중학,4,30
충북,면지역,초등학교,회인초등학교,초등+중학,6,33
충북,면지역,초등학교,연풍초등학교,초등+중학,7,33
충북,면지역,중학교,연풍중학교,초등+중학,3,12
충북,면지역,초등학교,칠성초등학교,초등+중학,7,36
충북,면지역,중학교,칠성중학교,초등+중학,4,26
충남,읍지역,고등학교,목천고등학교,중학+고등,14,276
충남,읍지역,중학교,목천중학교,중학+고등,11,201
충남,면지역,중학교,병천중학교,중학+고등,7,103
충남,면지역,고등학교,병천고등학교,중학+고등,19,419
충남,면지역,중학교,탄천중학교,초등+중학,4,22
충남,면지역,초등학교,탄천초등학교,초등+중학,7,36
충남,중소도시,중학교,대천서중학교,중학+고등,4,57
충남,중소도시,고등학교,충남해양과학고등학교,중학+고등,12,226
충남,도서벽지,중학교,미산중학교,초등+중학,4,34
충남,도서벽지,초등학교,미산초등학교,초등+중학,7,26
충남,읍지역,중학교,웅천중학교,중학+고등,4,50
충남,읍지역,고등학교,웅천고등학교,중학+고등,9,175
충남,면지역,중학교,주산중학교,중학+고등,2,9
충남,면지역,고등학교,주산산업고등학교,중학+고등,14,188
충남,면지역,초등학교,선장초등학교,초등+중학,7,29
충남,면지역,중학교,선도중학교,초등+중학,3,24
